SequenceNumbers  SerialNumbers
------------------------------
2000000000211111 791092422149909781
2000000000211112 340096225134337052
2000000000211113 809842578682008043
2000000000211114 991016201813363371
2000000000211115 566685010125142016
2000000000211116 277998815750232239
2000000000211117 159122916140740862
2000000000211118 579848391699774813
2000000000211119 381360495630049342
2000000000211120 415609520073848258
2000000000211121 449527108041498869
2000000000211122 178761632115307697
2000000000211123 585904988612721334
2000000000211124 844328774919273730
2000000000211125 253818072132625301
2000000000211126 517651804851595924
2000000000211127 782865229008013616
2000000000211128 994014584381536845
2000000000211129 894727743669707457
2000000000211130 294953361453000982
2000000000211131 195922571260780808
2000000000211132 653297411758836354
2000000000211133 535997978130818154
2000000000211134 458170555927409510
2000000000211135 822741523746696074
2000000000211136 361382624670145865
2000000000211137 633583897107889078
2000000000211138 633386631514447152
2000000000211139 345668652752088867
2000000000211140 286428989185560690
2000000000211141 163230282971777613
2000000000211142 702137703139084598
2000000000211143 433240261148912054
2000000000211144 322842527271356953
2000000000211145 157268248457980966
2000000000211146 315779531925915760
2000000000211147 451060354547390417
2000000000211148 165049708779034352
2000000000211149 927969801584015568
2000000000211150 853345379066656156
2000000000211151 340054392961411326
2000000000211152 202222429692394833
2000000000211153 252371717560509100
2000000000211154 713276258740445171
2000000000211155 164453898577730513
2000000000211156 722802705069867155
2000000000211157 362613350503947572
2000000000211158 300492742339332898
2000000000211159 233162564141294125
2000000000211160 270006050220065562
2000000000211161 500583386717665549
2000000000211162 510701895413691172
2000000000211163 783305694646569431
2000000000211164 790443612541293736
2000000000211165 702654786958573147
2000000000211166 515595743201667172
2000000000211167 388183149353367018
2000000000211168 897228151772566657
2000000000211169 266224664135833366
2000000000211170 623964537582091400
2000000000211171 303653995946492483
2000000000211172 964456726381912107
2000000000211173 473389812349261119
2000000000211174 648862926877095720
2000000000211175 362879582515126807
2000000000211176 183195989611878452
2000000000211177 790120064694514322
2000000000211178 205746654220106877
2000000000211179 104435801320044154
2000000000211180 895972309187192522
2000000000211181 965728356283545801
2000000000211182 454242298044252282
2000000000211183 575032680649598039
2000000000211184 677967675961168235
2000000000211185 905060155430179400
2000000000211186 542168683962046366
2000000000211187 129343895862032157
2000000000211188 426611783563711827
2000000000211189 901451584201076902
2000000000211190 323133900709530046
2000000000211191 550844209308083567
2000000000211192 815226426621794895
2000000000211193 795514822709564503
2000000000211194 162127986051740926
2000000000211195 490663296159677249
2000000000211196 307457848134242784
2000000000211197 542694721234712063
2000000000211198 754236421997569083
2000000000211199 469755995225484420
2000000000211200 104509469975744955
2000000000211201 854106252354259493
2000000000211202 971882145667043332
2000000000211203 588663626945451234
2000000000211204 307237090541561196
2000000000211205 842137685624354397
2000000000211206 998735494612319139
2000000000211207 380492196387410543
2000000000211208 635875095658818009
2000000000211209 488887996746938379
2000000000211210 141798459731907231
